,carros,price,link,vehicle_info
14,Chevrolet Tracker 1.8 Ltz,78000000,https://carro.mercadolibre.com.co/MCO-2149626204-chevrolet-tracker-ltz-18-_JM#position=15&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2020', 'Kilometrage': '27578 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Alsacia - Kennedy - Bogotá D.C.', 'Pub Number': '2149626204', 'Created At': '2024-01-13 18:10:07'}"
15,Toyota Rav4 2.5,184900000,https://carro.mercadolibre.com.co/MCO-2149716432-toyota-rav4-xle-hybrid-2500cc-4x4-_JM#position=16&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2022', 'Kilometrage': '23000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Chía - Cundinamarca', 'Pub Number': '2149716432', 'Created At': '2024-01-13 18:10:08'}"
16,Renault Stepway Expression/zen,47000000,https://carro.mercadolibre.com.co/MCO-2149741550-renault-stepway-expressionzen-2019-_JM#position=17&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2019', 'Kilometrage': '46104 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Ciudad Kennedy Central - Kennedy - Bogotá D.C.', 'Pub Number': '2149741550', 'Created At': '2024-01-13 18:10:08'}"
17,Jeep Grand Cherokee 3.6 Laredo,98000000,https://carro.mercadolibre.com.co/MCO-2149664676-jeep-grand-cherokee-16-laredo-_JM#position=18&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2014', 'Kilometrage': '72000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'El Poblado - Medellín - Antioquia', 'Pub Number': '2149664676', 'Created At': '2024-01-13 18:10:09'}"
18,Ford Ecosport 2.0 Titanium At,59300000,https://carro.mercadolibre.com.co/MCO-2149877546-ford-ecosport-20-titanium-_JM#position=19&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2017', 'Kilometrage': '40600 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'El Contador - Usaquén - Bogotá D.C.', 'Pub Number': '2149877546', 'Created At': '2024-01-13 18:10:10'}"
19,Ford Edge 3.5 Limited Fl,59900200,https://carro.mercadolibre.com.co/MCO-1381044243-ford-edge-limited-_JM#position=20&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2013', 'Kilometrage': '79000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Cantalejo Sec. Alejandría - Suba - Bogotá D.C.', 'Pub Number': '1381044243', 'Created At': '2024-01-13 18:10:10'}"
20,Mercedes-benz Clase Cla 200 1.6 Urban,97900000,https://carro.mercadolibre.com.co/MCO-2149600114-mercedes-benz-gla-200-16-urban-2018-_JM#position=21&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2018', 'Kilometrage': '93000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Belén La Mota - Medellín - Antioquia', 'Pub Number': '2149600114', 'Created At': '2024-01-13 18:10:11'}"
21,Chevrolet Spark 1.2 Gt M300,24900000,https://carro.mercadolibre.com.co/MCO-2149663906-chevrolet-spark-12-_JM#position=22&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2012', 'Kilometrage': '168700 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'El Amparo - Kennedy - Bogotá D.C.', 'Pub Number': '2149663906', 'Created At': '2024-01-13 18:10:12'}"
22,Suzuki Xl7 1.5 Glx,82000000,https://carro.mercadolibre.com.co/MCO-2149702340-suzuki-xl7-_JM#position=23&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2021', 'Kilometrage': '16000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Salitre Nor - Occidental - Fontibón - Bogotá D.C.', 'Pub Number': '2149702340', 'Created At': '2024-01-13 18:10:12'}"
23,Audi A5 B8 Coupe,84000000,https://carro.mercadolibre.com.co/MCO-2149611940-audi-a5-coupe-_JM#position=24&search_layout=grid&type=item&tracking_id=a402cc78-eaa0-4968-9afe-778d9be36c60,"{'Year': '2014', 'Kilometrage': '63000 ', 'Publication Date': 'Publicado hace 1 día', 'Location': 'Nueva Marsella I, Ii  y III Sector - Kennedy - Bogotá D.C.', 'Pub Number': '2149611940', 'Created At': '2024-01-13 18:10:13'}"
